KEY_TO_RAW,HIGHER_GEOG,municipality
4 mi N. of Tucson,"North America, United States, Arizona, Pima County",Tucson
"4 mi N Bartlett, Ill., Cook Co.","North America, United States, Illinois, Cook County",Bartlett
4mi N of Bartlett,"North America, United States, Illinois, Cook County",Bartlett
"4 mi N of Bartlett, Cook Co., Ill [Illinois]","North America, United States, Illinois, Cook County",Bartlett
"4mi N of Bartlett, Ill., Cook Co.","North America, United States, Illinois, Cook County",Bartlett
4mi N of Dundee,"North America, United States, Illinois, Kane County",West Dundee
"4mi N of Dundee, Kane Co., IL","North America, United States, Illinois, Kane County",West Dundee
4mi N of Dundee ILL [Illinois],"North America, United States, Illinois, Kane County",West Dundee
4 mi N of Tucson,"North America, United States, Arizona, Pima County",Tucson
4mi N of Tuscon,"North America, United States, Arizona, Pima County",Tucson
4 mi N Tucson,"North America, United States, Arizona, Pima County",Tucson
4 mi SE of Mokena,"North America, United States, Illinois, Will County",Mokena
"4 mi S Willows, Glenn Co. Calif","North America, United States, California, Glenn County",Willows
4 mi SW of Mokena,"North America, United States, Illinois, Will County",Mokena
4mi W Deerfield,"North America, United States, Illinois, Cook County",Deerfield
"4 mi W Hopkins Park, Ill., Kankakee Co.","North America, United States, Illinois, Kankakee County",Hopkins Park
55th St. pier,"North America, United States, Illinois, Cook County",Chicago
"5 miles east of Louviers, CO","North America, United States, Colorado, Douglas County",Louviers
5 miles NE of Lodi,"North America, United States, Mississippi, Montgomery County",Lodi
"5 miles NE of Lodi, MS","North America, United States, Mississippi, Montgomery County",Lodi
5 miles northeast of Lodi,"North America, United States, Mississippi, Montgomery County",Lodi
"5 miles northeast of Lodi, Montgomery Co., Mississippi","North America, United States, Mississippi, Montgomery County",Lodi
"5 miles northeast of Lodi, MS","North America, United States, Mississippi, Montgomery County",Lodi
"5 miles northeast of Montgomery Co., Mississippi","North America, United States, Mississippi, Montgomery County",Lodi
"5 miles north of Highland Park, IL","North America, United States, Illinois, Lake County",Highland Park
"5 miles north of Wickenburg, Yavapai Co","North America, United States, Arizona, Yavapai County",Wickenburg
"5 miles north of Wickenburg, Yavapai Co., Ariz.","North America, United States, Arizona, Yavapai County",Wickenburg
"5 miles north of Wickenburg, Yavapai Co., Arizona","North America, United States, Arizona, Yavapai County",Wickenburg
"5 miles NW of Eagle Peak, Alt 7,000","North America, United States, California, Modoc County",
5 miles west of Wheeling,"North America, United States, Illinois, Cook County",Wheeling
"5 mi N Eagle Point, Jackson Co., Ore [Oregon]","North America, United States, Oregon, Jackson County",Eagle Point
5 mi NE Lodi,"North America, United States, Mississippi, Montgomery County",Lodi
5mi NE of Lodi,"North America, United States, Mississippi, Montgomery County",Lodi
"5 mi N Lankershim, Los Angeles Co. Calif.","North America, United States, California, Los Angeles County",Los Angeles
"5 mi N of Trail, Elk Creek, Jackson Co., Oregon","North America, United States, Oregon, Jackson County",Trail
"5mi N of Wickenburg, Yavapai Co., Arizona","North America, United States, Arizona, Yavapai County",Wickenburg
5 mi W Golden,"North America, United States, Colorado, Jefferson County",Golden
5mi W of Evanston,"North America, United States, Illinois, Cook County",Evanston
60mi from Colville River and Arctic Circle,"North America, United States, Alaska",North Slope Borough
60 miles from the Colville River,"North America, United States, Alaska",North Slope Borough
"60 miles from the mouth of the Colville River, Barrow region","North America, United States, Alaska",North Slope Borough
"60 miles from the mouth of the Colville River, Barrow region, Alaska","North America, United States, Alaska",North Slope Borough
"6 mi. n. of Marnell, Yavapai Co., Ariz.","North America, United States, Arizona, Yavapai County",Yarnell
"6 mi. N. of Superior, Pinal Co., Arizona","North America, United States, Arizona, Pinal County",Superior
6 mi E Ocean Springs,"North America, United States, Mississippi, Jackson County",Ocean Springs
"6 miles east of Barrow, Alaska","North America, United States, Alaska","North Slope Borough, Barrow"
6 miles northeast of Dundee,"North America, United States, Illinois, Kane County",West Dundee
"6 miles north of Superior, Arizona, Pinal Co., 3000 ft","North America, United States, Arizona, Pinal County",Superior
6 miles north of Yarnell,"North America, United States, Arizona, Yavapai County",Yarnell
"6 miles north of Yarnell, Yavapai County, Ariz.","North America, United States, Arizona, Yavapai County",Yarnell
"6 miles south of Barrow, Alaska","North America, United States, Alaska","North Slope Borough, Barrow"
