AGENT_TYPE,PREFERRED NAME,PREFERRED 1,PREFERRED 2,PREFERRED 3,PREFERRED 4,PREFERRED 5,MERGE_FORMAT,ORIGINAL_SPLIT,UNSPLIT
person,A. T. Wayne,,,,,,A. T. Wayne,A.T. Wayne,A.T. Wayne
person,A. T. Wayne,,,,,,A. T. Wayne,A T Wayne,A T Wayne
person,A. T. Wheeler,,,,,,A. T. Wheeler,A.T. Wheeler,A.T. Wheeler
person,A. Taylor,,,,,,A. Taylor,A Taylor,A Taylor
person,A. Troschel,,,,,,A. Troschel,A. Troschel,A. Troschel
person,A. Valter,,,,,,A. Valter,A. Valter,A. Valter
person,A. Vates,,,,,,A. Vates,A. Vates,A. Vates
person,A. W. Anthony,,,,,,A. W. Anthony,A.W. Anthony,A.W. Anthony
person,A. W. Anthony,,,,,,A. W. Anthony,A W Anthony,A W Anthony
person,A. W. Anthony,,,,,,A.W. Anthony,purchased - A.W. Anthony,purchased - A.W. Anthony
person,A. W. Carter,,,,,,A. W. Carter,A.W. Carter,A.W. Carter
person,A. W. Conner,,,,,,A. W. Conner,A.W. Conner,A.W. Conner
person,A. W. Conner,,,,,,A. W. Conner,A. W. Conner,A. W. Conner
person,A. W. Conner,,,,,,A.W. Conner,on tag: exchange A. W. Conner,on tag: exchange A. W. Conner
person,A. W. Cormer,,,,,,A. W. Cormer,A.W. Cormer,A.W. Cormer
person,A. W. Corner,,,,,,A. W. Corner,A.W. Corner,A.W. Corner
person,A. W. Couner,,,,,,A. W. Couner,A.W. Couner,A.W. Couner
person,A. W. Higgins,,,,,,A. W. Higgins,A.W. Higgins,A.W. Higgins
person,A. W. Hitt,,,,,,Dr. A. W. Hitt,Dr. A.W. Hitt,Dr. A.W. Hitt
person,A. W. Hitt,,,,,,Dr. A. W. Hitt,Dr. A. W. Hitt,Dr. A. W. Hitt
person,A. W. Mumford,,,,,,A. W. Mumford,A.W. Mumford,A.W. Mumford
person,A. W. Slocum,,,,,,A. W. Slocum,A.W. Slocum,A.W. Slocum
person,A. W. Vagdes,,,,,,A. W. Vagdes,A.W. Vagdes,A.W. Vagdes
person,A. W. Vogder,,,,,,A. W. Vogder,A.W. Vogder,A.W. Vogder
person,A. W. Vogdes,,,,,,A. W. Vogdes,A.W. Vogdes,A.W. Vogdes
person,A. W. Vogdes,,,,,,A. W. Vogdes,A. W. Vogdes,A. W. Vogdes
person,A. W. Vogdes,,,,,,Lieutenant A.W. Vogdes,Lt. A.W. Vogdes,Lt. A.W. Vogdes
person,A. W. Wyatt,,,,,,A. W. Wyatt,A.W. Wyatt,A.W. Wyatt
person,A. Walker,,,,,,A. Walker,A. Walker,A. Walker
person,A. Wetmore,,,,,,A. Wetmore,A. Wetmore,A. Wetmore
person,A. Whiting Watriss,,,,,,A. W. Watriss,A.W. Watriss,A.W. Watriss
person,A. Whiting Watriss,,,,,,A. W. Whiting Watriss,A.W.Whiting Watriss,A.W.Whiting Watriss
person,A. Whiting Watriss,,,,,,A. Whiting Watriss,A. Whiting Watriss,A. Whiting Watriss
person,A. Williams,,,,,,A. Williams,A. Williams,A. Williams
person,A. Williamson,,,,,,A. Williamson,A. Williamson,A. Williamson
person,A. Wyatt,,,,,,A. Wyatt,A.Wyatt,A.Wyatt
organization,Aard-vark Shop,,,,,,Aard-vark Shop,Aard-vark Shop,Aard-vark Shop
person,Abbott Davis,,,,,,Abbott Davis,C. Abbott Davis Exch.,C. Abbott Davis Exch.
organization,Abbott Laboratories,,,,,,Abbott Laboratories,Abbott Laboratories,Abbott Laboratories
person,Abby F. Ferry,,,,,,Mrs. Abby F. Ferry,Mrs. Abby F. Ferry,Mrs. Abby F. Ferry
organization,Academy of Natural Sciences,,,,,,Academy of Natural Sciences,Academy of Nat. Sciences,Academy of Nat. Sciences
organization,Academy of Natural Sciences,,,,,,Academy of Natural Sciences,The Academy of Natural Sciences,The Academy of Natural Sciences
organization,Academy of Natural Sciences of Philadelphia,,,,,,Philadelphia Academy of Natural Sciences,Academy of Nat. Sciences Philadelphia,Academy of Nat. Sciences Philadelphia
organization,Academy of Natural Sciences of Philadelphia,,,,,,Philadelphia Academy of Sciences,Academy of Sciences of Philadelphia,Academy of Sciences of Philadelphia
organization,Academy of Natural Sciences of Philadelphia,,,,,,Philadelphia Academy of Sciences,Buffalo Acad. Academy of Sciences,Buffalo Acad. Academy of Sciences
