cat num,Collection Number,Accession Number,Number of Specimens,Collection,Phylum,Class,Order,Family,Name: Genus,Name: Species,Name: Subspecies,Name: Author,Identification,Locality,City,County,State,Country,Sex,Age,Received From,Received From (formatted),Collected By,Collected By (formatted),Date of Collection,Date of Collection (formatted),Remarks
14294,,1323,1,Geology,Mineral,Element,-,Lead,"Lead, Copper and Silver Ores",-,-,,"Mineral Element - Lead Lead, Copper and Silver Ores - -","Summit Co. [County], Colorado",,Summit,Colorado,United States of America,,,Frank M. Woodruff,Frank M. Woodruff,,,,,[Red M next to Museum Number]
14295,,688,1,Geology,-,-,-,-,Biotite,-,-,,- - - - Biotite - -,"Black Hills, S. [South] Dakota",,,South Dakota,United States of America,,,Charles M. Higginson,Charles M. Higginson,,,,,With Muscovite. [Red M next to Museum Number]
14296,,688,3,Geology,-,-,-,-,Retinite,-,-,,- - - - Retinite - -,"Mt. [Mount] Taylor, New Mexico",,,New Mexico,United States of America,,,Charles M. Higginson,Charles M. Higginson,,,,,In Coal. [Red M next to Museum Number]
14297,,1184,1,Geology,-,-,-,-,Azurite,-,-,,- - - - Azurite - -,"Bisbee, Arizona",Bisbee,Cochise,Arizona,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,[Red M next to Museum Number]
14298,,1184,1,Geology,-,-,-,-,Azurite,-,-,,- - - - Azurite - -,"Bisbee, Arizona",Bisbee,Cochise,Arizona,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,With Malachite. [Red M next to Museum Number]
14299,,1184,1,Geology,-,-,-,-,Malachite,-,-,,- - - - Malachite - -,"Bisbee, Arizona",Bisbee,Cochise,Arizona,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,[Red M next to Museum Number]
14300,,1184,1,Geology,-,-,-,-,Azurite,-,-,,- - - - Azurite - -,"Bisbee, Arizona",Bisbee,Cochise,Arizona,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,[Red M next to Museum Number]
14301,,1184,1,Geology,-,-,-,-,Malachite,-,-,,- - - - Malachite - -,"Bisbee, Arizona",Bisbee,Cochise,Arizona,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,With Azurite. [Red M next to Museum Number]
14302,,1184,1,Geology,-,-,-,-,Malachite,-,-,,- - - - Malachite - -,"Bisbee, Arizona",Bisbee,Cochise,Arizona,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,[Red M next to Museum Number]
14303,,1184,1,Geology,-,-,-,-,Malachite,-,-,,- - - - Malachite - -,"Bisbee, Arizona",Bisbee,Cochise,Arizona,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,In the rough form. [Red M next to Museum Number]
14304,,1184,1,Geology,-,-,-,-,Calcite,-,-,,- - - - Calcite - -,"Joplin, Missouri",Joplin,"Jasper, Newton",Missouri,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,"Nail-head Spar, with Sphalerite. [Red M next to Museum Number]"
14305,,1184,1,Geology,-,-,-,-,Calcite,-,-,,- - - - Calcite - -,"Joplin, Missouri",Joplin,"Jasper, Newton",Missouri,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,"Nail-head Spar, on Quartz. [Red M next to Museum Number]"
14306,,3,4,Geology,-,-,-,-,Opal,-,-,,- - - - Opal - -,Honduras,,,,Honduras,,,Mrs. E.E. Atwater,Elizabeth Emerson Atwater,,,,,Fire Opal. [Red M next to Museum Number]
14307,,1184,1,Geology,-,-,-,-,Marcasite,-,-,,- - - - Marcasite - -,"Joplin, Missouri",Joplin,"Jasper, Newton",Missouri,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,Crystals on Sphalerite. [Red M next to Museum Number]
14308,,688,1,Geology,-,-,-,-,Smithsonite,-,-,,- - - - Smithsonite - -,"Mineral Point, Wis. [Wisconsin]",Mineral Point,Iowa,Wisconsin,United States of America,,,Charles M. Higginson,Charles M. Higginson,,,,,[Red M next to Museum Number]
14309,,1184,1,Geology,-,-,-,-,Calamine,-,-,,- - - - Calamine - -,"Joplin, Missouri",Joplin,"Jasper, Newton",Missouri,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,[Red M next to Museum Number]
14310,,1184,1,Geology,-,-,-,-,Calcite,-,-,,- - - - Calcite - -,"Joplin, Missouri",Joplin,"Jasper, Newton",Missouri,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,Dog-tooth Spar on Dolomite with Marcasite.
14311,,1184,1,Geology,-,-,-,-,Dolomite,-,-,,- - - - Dolomite - -,"Joplin, Missouri",Joplin,"Jasper, Newton",Missouri,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,"With Calcite, Marcasite and Chalcopyrite. [Red M next to Museum Number]"
14312,,635,1,Geology,-,-,-,-,Sphalerite,-,-,,- - - - Sphalerite - -,"Joplin, Missouri",Joplin,"Jasper, Newton",Missouri,United States of America,,,Joseph R. Putnam,Joseph R. Putnam,,,,,On Chert. [Red M next to Museum Number]
14313,,1184,2,Geology,-,-,-,-,Marcasite,-,-,,- - - - Marcasite - -,"Joplin, Missouri",Joplin,"Jasper, Newton",Missouri,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,Cockscomb on Sphalerite. [Red M next to Museum Number]
14314,,1184,1,Geology,-,-,-,-,Dolomite,-,-,,- - - - Dolomite - -,"Joplin, Missouri",Joplin,"Jasper, Newton",Missouri,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,With Sphalerite and Marcasite. [Red M next to Museum Number]
14315,,,1,Mammalogy,-,-,-,-,Phoca,-,-,,- - - - Phoca - -,Lincoln Park,Chicago,Cook,Illinois,United States of America,,,L. Park Comm.,Lincoln Park Commission,,,,,"FoÄ“tal seal, born in L. [Lincoln] Park"
14316,,1184,1,Geology,-,-,-,-,Calcite,-,-,,- - - - Calcite - -,"Joplin, Missouri",Joplin,"Jasper, Newton",Missouri,United States of America,,,Exchange. Chas. Quarles,Charles Quarles,,,,,Crystals stained with Iron. [Red M next to Museum Number]
14317,,,1,Entomology,-,-,-,-,Hydroporus,sericeus,-,Lec. [LeConte],- - - - Hydroporus sericeus -,,,,,,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
14318,,,1,Entomology,-,-,-,-,Copelatus,chevrolatii,-,Aube,- - - - Copelatus chevrolatii -,Texas,,,Texas,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
14319,,,4,Entomology,-,-,-,-,Copelatus,glyphicus,-,Say,- - - - Copelatus glyphicus -,Ill. [Illinois],,,Illinois,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
14320,,,1,Entomology,-,-,-,-,Philhydrus,reflexipennis,-,Zimm. [Zimmerman],- - - - Philhydrus reflexipennis -,,,,,,,,Mrs. Chas. Sonne,PLACEHOLDER,,,,,
14321,,,5,Entomology,-,-,-,-,Hydrobius,feminalis,-,Lec. [LeConte],- - - - Hydrobius feminalis -,"Kn. [Kentucky], Ill. [Illinois]",,,"Kentucky, Illinois",United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
