Catalog Number,Collection Number,Accession Number,Number of Specimens,Collection,Phylum,Class,Order,Family,Name: Genus,Name: Species,Name: Subspecies,Name: Author,Identification,Locality,City,County,State,Country,Sex,Age,Received From,Received From (formatted),Collected By,Collected By (formatted),Date of Collection,Date of Collection (formatted),Remarks
22896,,2840,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,aliciae,aliciae,(Baird),Chordata Aves Passeriformes Turdidae Hylocichla aliciae aliciae,"Waukegan, Ills. [Illinois]",Waukegan,Lake,Illinois,United States of America,male,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,9-Sep-07,1907-09-09,
22897,,2845,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,aliciae,aliciae,(Baird),Chordata Aves Passeriformes Turdidae Hylocichla aliciae aliciae,"Millers, Ind. [Indiana]",Miller,Lake,Indiana,United States of America,male,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,9-Sep-07,1907-09-09,
22898,,2660,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,fuscescens,fuscescens,(Stephens),Chordata Aves Passeriformes Turdidae Hylocichla fuscescens fuscescens,"Waltham, Mass. [Massachusetts]",Waltham,Middlesex,Massachusetts,United States of America,male,,Purchased,,R. Deane,Ruthven V. Deane,14 May 1872,1872-05-14,
22899,,2660,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,fuscescens,fuscescens,(Stephens),Chordata Aves Passeriformes Turdidae Hylocichla fuscescens fuscescens,"Needham, Mass. [Massachusetts]",Needham,Norfolk,Massachusetts,United States of America,male,,Purchased,,R. Deane,Ruthven V. Deane,22 May 1872,1872-05-22,
22900,,2660,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,fuscescens,fuscescens,(Stephens),Chordata Aves Passeriformes Turdidae Hylocichla fuscescens fuscescens,"Cambridge, Mass. [Massachusetts]",Cambridge,Middlesex,Massachusetts,United States of America,female,,Purchased,,R. Deane,Ruthven V. Deane,14 May 1872,1872-05-14,
22901,,2301,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,fuscescens,salicicola,(Ridgway),Chordata Aves Passeriformes Turdidae Hylocichla fuscescens salicicola,"Lincoln Park, Chicago [Illinois]",Chicago,Cook,Illinois,United States of America,male,,Edwin Dempsey,Edwin Dempsey,R. Deane,Ruthven V. Deane,3-May-06,1906-05-03,Found in park
22902,,2307,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,fuscescens,salicicola,(Ridgway),Chordata Aves Passeriformes Turdidae Hylocichla fuscescens salicicola,"Morgan Park, Ills. [Illinois]",Chicago,Cook,Illinois,United States of America,male,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,9-May-06,1906-05-09,
22903,,2568,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Planesticus,migratorius,migratorius,(Linnaeus),Chordata Aves Passeriformes Turdidae Planesticus migratorius migratorius,"Lincoln Park, Chicago [Illinois]",Chicago,Cook,Illinois,United States of America,,juvenile,R.W. Purdy,Robert W. Purdy,F.M. Woodruff,Frank M. Woodruff,19-Jul-07,1907-07-19,Fell out of nest
22904,,2840,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Planesticus,migratorius,migratorius,(Linnaeus),Chordata Aves Passeriformes Turdidae Planesticus migratorius migratorius,"Waukegan, Ills. [Illinois]",Waukegan,Lake,Illinois,United States of America,male,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,30-Sep-08,1908-09-30,
22905,,2838,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Sialia,sialis,sialis,(Linnaeus),Chordata Aves Passeriformes Turdidae Sialia sialis sialis,Skokie Marsh,,Cook,Illinois,United States of America,female,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,7-Aug-08,1908-08-07,
