part_name,ATTRIBUTE_TYPE,guid,remark,determiner,DETERMINED_DATE,ATTRIBUTE_VALUE
whole organism (70% ethanol),location,CHAS:Herp:4154,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4155,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4156,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4157,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4158,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4159,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:416,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4160,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4161,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4162,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4163,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4164,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4165,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4166,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4167,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4168,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4169,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:417,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4170,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4171,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4172,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4173,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4174,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4175,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4176,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4177,,John Archer,2015-04-10,Reebie: Locker 312A: Unit 26: Shelf E
whole organism (70% ethanol),location,CHAS:Herp:4178,,John Archer,2015-04-10,Reebie: Locker 312A: Unit 26: Shelf E
whole organism (70% ethanol),location,CHAS:Herp:4179,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:418,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4180,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf A
whole organism (70% ethanol),location,CHAS:Herp:4181,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf A
whole organism (70% ethanol),location,CHAS:Herp:4182,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf A
whole organism (70% ethanol),location,CHAS:Herp:4183,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf A
whole organism (70% ethanol),location,CHAS:Herp:4184,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf A
