MATCH,Class,Order,Family,Genus,species,subspecies,form/variety,FullName,Currently Accepted?,Accepted Name,Original Name,irn
Unio metastriatus,Bivalvia,Paleoheterodonta,Unionidae,Unio,metastriatus,,,"Unio metastriatus Conrad, 1838",No,"Epioblasma metastriata (Conrad, 1838)","Unio metastriatus Conrad, 1838",210048
Unio micans,Bivalvia,Paleoheterodonta,Unionidae,Unio,micans,,,"Unio (Elliptio) micans (Lea, I., 1857)",No,"Elliptio icterina (Conrad, 1834)","Unio micans Lea, I., 1857",585378
Unio micans,Bivalvia,Paleoheterodonta,Unionidae,Unio,micans,,,"Unio micans Lea, I., 1857",No,"Elliptio icterina (Conrad, 1834)","Unio micans Lea, I., 1857",209266
Unio minor,Bivalvia,Paleoheterodonta,Unionidae,Unio,minor,,,"Unio minor Lea, I., 1843",No,"Toxolasma paulum (Lea, I., 1840)","Unio minor Lea, I., 1843",183228
Unio mississippiensis,Bivalvia,Paleoheterodonta,Unionidae,Unio,mississippiensis,,,"Unio mississippiensis Conrad, 1850",No,"Ligumia subrostrata (Say, 1831)","Unio mississippiensis Conrad, 1850",586617
Unio mitchelli,Bivalvia,Paleoheterodonta,Unionidae,Unio,mitchelli,,,"Unio (Elliptio) mitchelli (Simpson in Dall, 1895)",No,"Fusconaia mitchelli (Simpson in Dall, 1895)","Unio mitchelli Simpson in Dall, 1895",586124
Unio mitchelli elongatus,Bivalvia,Paleoheterodonta,Unionidae,Unio,mitchelli,elongatus,,"Unio (Elliptio) mitchelli elongatus Simpson, 1914",No,"Sphenonaias taumilapana (Conrad, 1855)","Unio (Elliptio) mitchelli elongatus Simpson, 1914",587792
Unio mitchelli iheringi,Bivalvia,Paleoheterodonta,Unionidae,Unio,mitchelli,iheringi,,"Unio (Elliptio) mitchelli iheringi (Wright, B.H., 1898)",No,"Sphenonaias taumilapana (Conrad, 1855)","Unio iheringi Wright, B.H., 1898",587790
Unio mitchelli,Bivalvia,Paleoheterodonta,Unionidae,Unio,mitchelli,,,"Unio mitchelli Simpson in Dall, 1895",No,"Fusconaia mitchelli (Simpson in Dall, 1895)","Unio mitchelli Simpson in Dall, 1895",586123
Unio modicellus,Bivalvia,Paleoheterodonta,Unionidae,Unio,modicellus,,,"Unio modicellus Lea, I., 1859",No,"Epioblasma othcaloogensis (Lea, I., 1857)","Unio modicellus Lea, I., 1859",585814
Unio modicus,Bivalvia,Paleoheterodonta,Unionidae,Unio,modicus,,,"Unio modicus Lea, I., 1857",No,"Pleurobema pyriforme (Lea, I., 1857)","Unio modicus Lea, I., 1857",587137
Unio modioliformis,Bivalvia,Paleoheterodonta,Unionidae,Unio,modioliformis,,,"Unio modioliformis Lea, I., 1834",No,"Villosa vibex (Conrad, 1834)","Unio modioliformis Lea, I., 1834",588463
