TAXON (to match to authority),ACCEPTED TAXON,ACCEPTED AUTHOR,SOURCE,Class,Order,Family,Subfamily
Neoscona benjamina,Neoscona sp.,,Petra Sierwald,Arachnida,Araneae,Araneidae,
Neoscona sp.,Neoscona sp.,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Neoscona sp. Poss pratensis sp.,Neoscona sp.,,Petra Sierwald,Arachnida,Araneae,Araneidae,
Neriene clathrata,Neriene clathrata,,World Spider Catalog,Arachnida,Araneae,Linyphiidae,Linyphiinae
Neriene radiata,Neriene radiata,,World Spider Catalog,Arachnida,Araneae,Linyphiidae,Linyphiinae
Neriene variabilis,Neriene variabilis,,World Spider Catalog,Arachnida,Araneae,Linyphiidae,Linyphiinae
Olios fasciculatus,Olios fasciculatus,,World Spider Catalog,Arachnida,Araneae,Sparassidae,
Olios sp.,Olios sp.,,World Spider Catalog,Arachnida,Araneae,Sparassidae,
Oxyopes salticus,Oxyopes salticus,,World Spider Catalog,Arachnida,Araneae,Oxyopidae,
Oxyopes sp.,Oxyopes sp.,,World Spider Catalog,Arachnida,Araneae,Oxyopidae,
Ozyptila (Oxyptila) americana,Ozyptila americana,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Paradamoetas fontanus,Paradamoetas fontanus,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Paraphidippus marginatus,Eris militaris,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Pardosa distincta,Pardosa distincta,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pardosa groenlandica,Pardosa groenlandica,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pardosa lapidicina,Pardosa lapidicina,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pardosa lapidicina gray,Pardosa lapidicina,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pardosa mercurialis,Pardosa mercurialis,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pardosa milvina,Pardosa milvina,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pardosa moesta,Pardosa moesta,,World Spider Catalog,Arachnida,Araneae,Lycosidae,Pardosinae
Pardosa sp.,Pardosa sp.,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pardosa vadosa,Pardosa vadosa,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pardosa xerampelina,Pardosa xerampelina,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pardosa yavapa,Pardosa yavapa,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Peckhomia scorpionea ,Peckhamia scorpionia,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Pellenes agilis,Habronattus agilis,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Pellenes borealis,Habronattus borealis,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Pellenes coronatus,Habronattus coecatus,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Pellenes hoyi,Evarcha hoyi,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Pellenes viridipes,Habronattus viridipes,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Peucetia viridans,Peucetia viridans,,World Spider Catalog,Arachnida,Araneae,Oxyopidae,
Phidippus audax,Phidippus audax,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Phidippus clarius,Phidippus clarus,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Phidippus clarus,Phidippus clarus,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Phidippus insignarius,Phidippus insignarius,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Phidippus otiosus,Phidippus otiosus,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Phidippus sp.,Phidippus sp.,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Phidippus whitmanii,Phidippus whitmani,,World Spider Catalog,Arachnida,Araneae,Salticidae,
