MEDIA_URI,PREVIEW_URI,MIME_TYPE,MEDIA_TYPE,media_license,media_relationship_1,media_related_term_1,media_relationship_2,media_related_term_2,media_relationship_3,media_related_term_3,media_relationship_4,media_related_term_4,media_label_1,media_label_value_1,media_label_2,media_label_value_2,media_label_3,media_label_value_3,media_label_5,media_label_value_5
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_18105-3.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_18105-3.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:18105,title,Paralectotype of Sphaerium lilycashense,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_18105-4.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_18105-4.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:18105,title,Paralectotype of Sphaerium lilycashense,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_18105A-1.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_18105A-1.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:18105.1,title,Lectotype of Sphaerium lilycashense,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_18105A-2.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_18105A-2.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:18105.1,title,Lectotype of Sphaerium lilycashense,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_18105A-3.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_18105A-3.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:18105.1,title,Lectotype of Sphaerium lilycashense,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_18105A-4.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_18105A-4.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:18105.1,title,Lectotype of Sphaerium lilycashense,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_18105A-5.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_18105A-5.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:18105.1,title,Lectotype of Sphaerium lilycashense,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_18106-1.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_18106-1.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:18106,title,Syntype of Sphaerium lilycashense,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_18106-2.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_18106-2.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:18106,title,Syntype of Sphaerium lilycashense,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_18106-3.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_18106-3.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:18106,title,Syntype of Sphaerium lilycashense,subject,mollusk,subject,type specimen,made date,2011-08-26
